invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin
1,M003,San Antonio,Health and beauty,$74.69,7.0,05/01/25,13:08:00,Ewallet,9.1,0.48
2,M048,Harlingen,Electronic accessories,$15.28,5.0,08/03/25,10:29:00,Cash,9.6,0.48
3,M067,Haltom City,Home and lifestyle,$46.33,7.0,03/03/25,13:23:00,Credit card,7.4,0.33
4,M064,Bedford,Health and beauty,$58.22,8.0,27/01/25,20:33:00,Ewallet,8.4,0.33
5,M013,Irving,Sports and travel,$86.31,7.0,08/02/25,10:37:00,Ewallet,5.3,0.48
6,M026,Denton,Electronic accessories,$85.39,7.0,25/03/25,18:30:00,Ewallet,4.1,0.48
7,M088,Cleburne,Electronic accessories,$68.84,6.0,25/02/25,14:36:00,Ewallet,5.8,0.33
8,M100,Canyon,Home and lifestyle,$73.56,10.0,24/02/25,11:38:00,Ewallet,8.0,0.18
9,M066,Grapevine,Health and beauty,$36.26,2.0,10/01/25,17:15:00,Credit card,7.2,0.33
10,M065,Texas City,Food and beverages,$54.84,3.0,20/02/25,13:27:00,Credit card,5.9,0.33
11,M013,Irving,Fashion accessories,$14.48,4.0,06/02/25,18:07:00,Ewallet,4.5,0.48
12,M035,San Angelo,Electronic accessories,$25.51,4.0,09/03/25,17:03:00,Cash,6.8,0.48
13,M027,Abilene,Electronic accessories,$46.95,5.0,12/02/25,10:25:00,Ewallet,7.1,0.48
14,M035,San Angelo,Food and beverages,$43.19,10.0,07/02/25,16:48:00,Ewallet,8.2,0.48
15,M031,Lewisville,Health and beauty,$71.38,10.0,29/03/25,19:21:00,Cash,5.7,0.48
16,M008,Corpus Christi,Sports and travel,$93.72,6.0,15/01/25,16:19:00,Cash,4.5,0.48
17,M029,Round Rock,Health and beauty,$68.93,7.0,11/03/25,11:03:00,Credit card,4.6,0.48
18,M061,Cedar Park,Sports and travel,$72.61,6.0,01/01/25,10:39:00,Credit card,6.9,0.33
19,M053,Conroe,Food and beverages,$54.67,3.0,21/01/25,18:00:00,Credit card,8.6,0.57
20,M013,Irving,Home and lifestyle,$40.3,2.0,11/03/25,15:30:00,Ewallet,4.4,0.48
21,M044,Pharr,Electronic accessories,$86.04,5.0,25/02/25,11:24:00,Ewallet,4.8,0.48
22,M088,Cleburne,Health and beauty,$87.98,3.0,05/03/25,10:40:00,Ewallet,5.1,0.33
23,M083,Farmers Branch,Home and lifestyle,$33.2,2.0,15/03/25,12:20:00,Credit card,4.4,0.33
24,M067,Haltom City,Electronic accessories,$34.56,5.0,17/02/25,11:15:00,Ewallet,9.9,0.33
25,M023,Midland,Sports and travel,$88.63,3.0,02/03/25,17:36:00,Ewallet,6.0,0.48
26,M001,Houston,Home and lifestyle,$52.59,8.0,22/03/25,19:20:00,Credit card,8.5,0.36
27,M072,Lancaster,Fashion accessories,$33.52,1.0,08/02/25,15:31:00,Cash,6.7,0.33
28,M046,Temple,Fashion accessories,$87.67,2.0,10/03/25,12:17:00,Credit card,7.7,0.48
29,M012,Garland,Food and beverages,$88.36,5.0,25/01/25,19:48:00,Cash,9.6,0.48
30,M075,San Marcos,Health and beauty,$24.89,9.0,15/03/25,15:36:00,Cash,7.4,0.33
31,M076,Huntsville,Fashion accessories,$94.13,5.0,25/02/25,19:39:00,Credit card,4.8,0.33
32,M098,Mineral Wells,Sports and travel,$78.07,9.0,28/01/25,12:43:00,Cash,4.5,0.18
33,M021,McAllen,Sports and travel,$83.78,8.0,10/01/25,14:49:00,Cash,5.1,0.48
34,M096,Eagle Pass,Health and beauty,$96.58,2.0,15/03/25,10:12:00,Credit card,5.1,0.18
35,M022,Mesquite,Food and beverages,$99.42,4.0,06/02/25,10:42:00,Ewallet,7.5,0.48
36,M095,Big Spring,Sports and travel,$68.12,1.0,07/01/25,12:28:00,Ewallet,6.8,0.33
