Category,Best_Model,R2,Adjusted_R2
M001,Lasso,-0.05399253643519564,-8.485932827916761
M002,Elastic Net,-0.04050567393757731,-8.364551065438196
M003,Linear Reg,-3.4643938341992797,-39.179544507793516
M004,Gradient Boost,-0.14471573601219823,-9.302441624109784
M005,Ridge,0.23785352642525392,-5.859318262172715
M006,Random Forest,-0.4744581501107228,-12.270123350996505
M007,Random Forest,-0.12616573728189806,-9.135491635537083
M008,Random Forest,-0.6714446178411659,-14.043001560570493
M009,Linear Reg,-1.4739698409369408,-21.26572856843247
M010,Random Forest,-0.7611881015584496,-14.850692914026046
M011,Gradient Boost,-0.3354888818001358,-11.019399936201221
M012,Linear Reg,0.1991659093928102,
M013,Elastic Net,0.1859026114551917,-6.3268764969032745
M014,Linear Reg,-0.050125121278985274,-8.451126091510867
M015,Random Forest,-0.9642398898934554,-16.6781590090411
M016,Random Forest,-0.3424626551538894,-11.082163896385005
M017,Lasso,-0.11202286722097488,-9.008205804988775
M018,Random Forest,-0.008156497428275289,-8.073408476854478
M019,Lasso,-0.5742799557991163,-13.168519602192047
M020,Random Forest,-0.4323624592160078,-11.891262132944071
M021,Elastic Net,-0.574959427733519,-13.174634849601672
M022,Linear Reg,-0.08720126338035872,
M023,Linear Reg,-0.17101475677483657,-9.539132810973529
M024,Random Forest,-0.0010575154534300246,-8.00951763908087
M025,Random Forest,-1.8349526111529038,-24.514573500376134
M026,Random Forest,-0.1120905816630764,-9.008815234967688
M027,Gradient Boost,-0.09384556809429245,-8.844610112848631
M028,Elastic Net,0.1318073359776214,-6.813733976201408
M029,Lasso,-2.298710895180501,-28.68839805662451
M030,Random Forest,-3.4543461999759035,-39.08911579978313
M031,Ridge,0.15326880118746777,-6.62058078931279
M032,Random Forest,-5.465333130049761,-57.187998170447855
M033,Linear Reg,-0.3775261087315047,-11.397734978583543
M034,Elastic Net,-0.022912317420625827,-8.206210856785633
M035,Elastic Net,-1.9070674497577351,-25.163607047819617
M036,Elastic Net,-0.4937889599416838,-12.444100639475154
M037,Elastic Net,-0.1882224880370964,-9.694002392333868
M038,Random Forest,-3.7933170498528996,-42.1398534486761
M039,Gradient Boost,0.46989227534748634,-3.7709695218726225
M040,Random Forest,-0.10946490483469806,-8.985184143512283
M041,Random Forest,-0.05620768131607279,-8.505869131844655
M042,Random Forest,-0.6707639047734255,-14.03687514296083
M043,Gradient Boost,-0.29270572776402837,-10.634351549876255
M044,Gradient Boost,0.19596272497064704,-6.236335475264177
M045,Ridge,-1.3950852605468849,-20.555767344921964
M046,Random Forest,-3.363551668057192,-38.27196501251473
M047,Random Forest,-1.25852333138534,-19.32670998246806
M048,Gradient Boost,0.1833497699450608,-6.349852070494453
M049,Linear Reg,-0.7557936004667933,-14.80214240420114
M050,Random Forest,-5.217505215777032,-54.957546941993286
M051,Elastic Net,-0.8143789421426133,-15.32941047928352
M052,Elastic Net,-0.33881803736163807,-11.049362336254742
M053,Random Forest,-0.4621767890613915,-12.159591101552524
M054,Random Forest,-2.9006587498821204,-34.105928748939085
M055,Random Forest,-3.9791848168318404,-43.81266335148656
M056,Random Forest,-3.0704978967967183,-35.63448107117046
M057,Random Forest,-0.8583297621562773,-15.724967859406497
M058,Linear Reg,-2.3651942809815196,-29.286748528833677
M059,Random Forest,-0.7750683642713359,-14.975615278442023
M060,Gradient Boost,0.023564094711470474,-7.787923147596766
M061,Random Forest,0.002843908573128995,-7.974404822841839
M062,Random Forest,0.27164301359466103,-5.555212877648051
M063,Random Forest,-1.474161747154577,-21.26745572439119
M064,Elastic Net,-0.6883280309662136,-14.194952278695922
M065,Random Forest,-2.903606284086294,-34.132456556776646
M066,Random Forest,0.008586490487059728,-7.922721585616463
M067,Random Forest,-1.2773460786746282,-19.496114708071655
M068,Random Forest,-0.21159961729232268,-9.904396555630903
M069,Random Forest,-3.4723863144504765,-39.25147683005429
M070,Ridge,-1.054014497417893,-17.486130476761037
M071,Linear Reg,-0.5687285479036601,-13.118556931132941
M072,Random Forest,-0.08854786970132111,-8.79693082731189
M073,Gradient Boost,-7.989598626529242,-79.90638763876318
M074,Random Forest,-3.1020941439166574,-35.91884729524992
M075,Random Forest,-12.983864735566284,-124.85478262009656
M076,Ridge,-1.1221198516474438,-18.099078664826994
M077,Random Forest,0.15489964426441627,-6.6059032016202535
M078,Linear Reg,0.06718315959674359,-7.395351563629308
M079,Ridge,-0.9132357167520118,-16.219121450768107
M080,Gradient Boost,-2.6917352479580883,-32.22561723162279
M081,Random Forest,0.27690128206030795,-5.507888461457228
M082,Gradient Boost,-3.869185808454138,-42.822672276087246
M083,Random Forest,0.16237922576820696,-6.538586968086137
